District Name,Total Households,1 = Cultivation,% 1 = Cultivation,2=Manual Casual Labour,% 2=Manual Casual Labour,3=Part-time or Full-Time Domestic Service,% 3=Part-time or Full-Time Domestic Service,4=Foraging Rag Picking,% 4=Foraging Rag Picking,5=Non-agricultural Own Account Enterprise,% 5=Non-agricultural Own Account Enterprise,6=Begging/Charity/ Alms collection,% 6=Begging/Charity/ Alms collection,7=Others,% 7=Others,State_Code
All India Total,179787454,54122794,30.1%,92016420,51.18%,4487569,2.5%,410320,0.23%,2888481,1.61%,669649,0.37%,25121808,13.97%,01
North Zone Total,9104338,2900851,31.86%,3690369,40.53%,442652,4.86%,14120,0.16%,191843,2.11%,23565,0.26%,1836582,20.17%,01
State Total,1601606,482489,30.13%,596927,37.27%,71500,4.46%,1472,0.09%,18236,1.14%,5511,0.34%,425462,26.56%,01
Kupwara (01),107636,18540,17.22%,49013,45.54%,8571,7.96%,151,0.14%,595,0.55%,695,0.65%,30062,27.93%,01
Badgam (02),97773,18120,18.53%,45923,46.97%,4910,5.02%,65,0.07%,2507,2.56%,535,0.55%,25713,26.3%,01
Leh(Ladakh) (03),17723,8766,49.46%,1926,10.87%,1190,6.71%,15,0.08%,269,1.52%,33,0.19%,5524,31.17%,01
Kargil (04),15923,4761,29.9%,2778,17.45%,693,4.35%,28,0.18%,72,0.45%,94,0.59%,7497,47.08%,01
Punch (05),81685,36239,44.36%,24904,30.49%,4343,5.32%,229,0.28%,1587,1.94%,294,0.36%,14089,17.25%,01
Rajouri (06),127822,62526,48.92%,29112,22.78%,5757,4.5%,116,0.09%,1013,0.79%,255,0.2%,29043,22.72%,01
Kathua (07),99768,26244,26.31%,38801,38.89%,4530,4.54%,180,0.18%,852,0.85%,314,0.31%,28847,28.91%,01
Baramula (08),123540,26392,21.36%,57925,46.89%,6133,4.96%,41,0.03%,1644,1.33%,425,0.34%,30980,25.08%,01
Bandipore (09),47848,7562,15.8%,17380,36.32%,4770,9.97%,26,0.05%,739,1.54%,214,0.45%,17157,35.86%,01
Srinagar (10),4304,867,20.14%,1421,33.02%,205,4.76%,4,0.09%,265,6.16%,3,0.07%,1539,35.76%,01
Ganderbal (11),40450,4486,11.09%,21184,52.37%,2004,4.95%,31,0.08%,534,1.32%,92,0.23%,12119,29.96%,01
Pulwama (12),79308,18323,23.1%,33830,42.66%,4113,5.19%,30,0.04%,1140,1.44%,479,0.6%,21393,26.97%,01
Shupiyan (13),42691,24429,57.22%,12659,29.65%,938,2.2%,17,0.04%,156,0.37%,200,0.47%,4292,10.05%,01
Anantnag (14),123476,24714,20.02%,62560,50.67%,4443,3.6%,107,0.09%,1415,1.15%,638,0.52%,29599,23.97%,01
Kulgam (15),61426,20114,32.75%,25592,41.66%,2301,3.75%,33,0.05%,936,1.52%,498,0.81%,11952,19.46%,01
Doda (16),74110,28475,38.42%,26694,36.02%,1723,2.32%,43,0.06%,460,0.62%,85,0.11%,16630,22.44%,01
Ramban (17),55171,25645,46.48%,17893,32.43%,1369,2.48%,10,0.02%,239,0.43%,83,0.15%,9932,18%,01
Kishtwar (18),42273,19406,45.91%,12838,30.37%,1064,2.52%,37,0.09%,96,0.23%,46,0.11%,8786,20.78%,01
Udhampur (19),79845,35791,44.83%,23353,29.25%,2208,2.77%,35,0.04%,812,1.02%,69,0.09%,17577,22.01%,01
Reasi (20),52339,30701,58.66%,11946,22.82%,1115,2.13%,27,0.05%,441,0.84%,49,0.09%,8060,15.4%,01
Jammu (21),170917,30170,17.65%,62404,36.51%,7474,4.37%,219,0.13%,1968,1.15%,327,0.19%,68355,39.99%,01
Samba (22),55578,10218,18.38%,16791,30.21%,1646,2.96%,28,0.05%,496,0.89%,83,0.15%,26316,47.35%,01
All India Total,179787454,54122794,30.1%,92016420,51.18%,4487569,2.5%,410320,0.23%,2888481,1.61%,669649,0.37%,25121808,13.97%,02
North Zone Total,9104338,2900851,31.86%,3690369,40.53%,442652,4.86%,14120,0.16%,191843,2.11%,23565,0.26%,1836582,20.17%,02
State Total,1263756,458438,36.28%,254908,20.17%,101234,8.01%,2179,0.17%,32629,2.58%,3342,0.26%,411025,32.52%,02
Chamba (01),92274,44047,47.74%,17347,18.8%,8208,8.9%,138,0.15%,2282,2.47%,146,0.16%,20106,21.79%,02
Kangra (02),309461,56281,18.19%,92541,29.9%,22067,7.13%,631,0.2%,8365,2.7%,898,0.29%,128678,41.58%,02
LahulSpiti (03),6177,3243,52.5%,402,6.51%,427,6.91%,5,0.08%,109,1.76%,57,0.92%,1934,31.31%,02
Kullu (04),79798,52600,65.92%,7027,8.81%,3404,4.27%,73,0.09%,1553,1.95%,78,0.1%,15063,18.88%,02
Mandi (05),198952,90997,45.74%,37644,18.92%,15286,7.68%,300,0.15%,4074,2.05%,252,0.13%,50399,25.33%,02
Hamirpur (06),96745,17225,17.8%,19564,20.22%,15456,15.98%,285,0.29%,2673,2.76%,1016,1.05%,40526,41.89%,02
Una (07),97451,11526,11.83%,31635,32.46%,7281,7.47%,279,0.29%,2743,2.81%,215,0.22%,43772,44.92%,02
Bilaspur (08),70768,25482,36.01%,11697,16.53%,7978,11.27%,82,0.12%,1260,1.78%,88,0.12%,24181,34.17%,02
Solan (09),90043,36036,40.02%,11153,12.39%,9061,10.06%,155,0.17%,1896,2.11%,241,0.27%,31501,34.98%,02
Sirmaur (10),82214,38650,47.01%,16083,19.56%,4503,5.48%,108,0.13%,2154,2.62%,202,0.25%,20513,24.95%,02
Shimla (11),121586,71749,59.01%,8545,7.03%,5828,4.79%,111,0.09%,5026,4.13%,129,0.11%,30198,24.84%,02
Kinnaur (12),18287,10602,57.98%,1270,6.94%,1735,9.49%,12,0.07%,494,2.7%,20,0.11%,4154,22.72%,02
All India Total,179787454,54122794,30.1%,92016420,51.18%,4487569,2.5%,410320,0.23%,2888481,1.61%,669649,0.37%,25121808,13.97%,03
North Zone Total,9104338,2900851,31.86%,3690369,40.53%,442652,4.86%,14120,0.16%,191843,2.11%,23565,0.26%,1836582,20.17%,03
State Total,3269467,977676,29.9%,1570446,48.03%,121061,3.7%,5403,0.17%,58830,1.8%,5331,0.16%,528934,16.18%,03
Gurdaspur (01),297035,73250,24.66%,142859,48.1%,17176,5.78%,655,0.22%,8404,2.83%,421,0.14%,54159,18.23%,03
Kapurthala (02),104862,28865,27.53%,48915,46.65%,4318,4.12%,515,0.49%,2111,2.01%,255,0.24%,19808,18.89%,03
Jalandhar (03),214994,45648,21.23%,107253,49.89%,5636,2.62%,792,0.37%,3682,1.71%,390,0.18%,51526,23.97%,03
Hoshiarpur (04),263563,48960,18.58%,116679,44.27%,10611,4.03%,473,0.18%,3781,1.43%,512,0.19%,82391,31.26%,03
Shahid Bhagat Singh Nagar (05),103553,21753,21.01%,51845,50.07%,3987,3.85%,210,0.2%,1895,1.83%,119,0.11%,23557,22.75%,03
Fatehgarh Sahib (06),76287,24907,32.65%,36947,48.43%,2498,3.27%,49,0.06%,735,0.96%,140,0.18%,10984,14.4%,03
Ludhiana (07),269447,66624,24.73%,133556,49.57%,21075,7.82%,610,0.23%,4552,1.69%,537,0.2%,42436,15.75%,03
Moga (08),143743,48379,33.66%,73760,51.31%,4283,2.98%,342,0.24%,1999,1.39%,190,0.13%,14449,10.05%,03
Firozpur (09),270011,99142,36.72%,145459,53.87%,4136,1.53%,118,0.04%,3007,1.11%,240,0.09%,17854,6.61%,03
Muktsar (10),123773,45250,36.56%,66070,53.38%,1978,1.6%,216,0.17%,2311,1.87%,100,0.08%,7796,6.3%,03
Faridkot (11),74717,27362,36.62%,36857,49.33%,1659,2.22%,56,0.07%,1889,2.53%,59,0.08%,6834,9.15%,03
Bathinda (12),159138,70430,44.26%,73243,46.02%,3155,1.98%,50,0.03%,1341,0.84%,155,0.1%,10745,6.75%,03
Mansa (13),114443,47629,41.62%,53343,46.61%,2359,2.06%,168,0.15%,1304,1.14%,204,0.18%,9151,8%,03
Patiala (14),213729,60391,28.26%,107489,50.29%,4713,2.21%,87,0.04%,3334,1.56%,700,0.33%,36970,17.3%,03
Amritsar (15),206172,49040,23.79%,97163,47.13%,11327,5.49%,310,0.15%,7159,3.47%,317,0.15%,40836,19.81%,03
Tarn Taran (16),165688,65529,39.55%,74932,45.22%,4629,2.79%,127,0.08%,2585,1.56%,201,0.12%,17635,10.64%,03
Rupnagar (17),94482,25170,26.64%,37173,39.34%,5341,5.65%,261,0.28%,1849,1.96%,200,0.21%,24479,25.91%,03
Sahibzada Ajit Singh Nagar (18),85222,17398,20.41%,37738,44.28%,4712,5.53%,75,0.09%,1782,2.09%,158,0.19%,23218,27.24%,03
Sangrur (19),214234,80547,37.6%,96004,44.81%,6049,2.82%,248,0.12%,4021,1.88%,327,0.15%,26966,12.59%,03
Barnala (20),74374,31402,42.22%,33161,44.59%,1419,1.91%,41,0.06%,1089,1.46%,106,0.14%,7140,9.6%,03
All India Total,179787454,54122794,30.1%,92016420,51.18%,4487569,2.5%,410320,0.23%,2888481,1.61%,669649,0.37%,25121808,13.97%,04
UT Zone Total,1338560,164259,12.27%,223907,16.73%,176282,13.17%,6608,0.49%,17780,1.33%,5117,0.38%,744605,55.63%,04
State Total,15657,211,1.35%,2707,17.29%,1043,6.66%,54,0.34%,452,2.89%,17,0.11%,11173,71.36%,04
CHANDIGARH DISTRICT (01),15657,211,1.35%,2707,17.29%,1043,6.66%,54,0.34%,452,2.89%,17,0.11%,11173,71.36%,04
All India Total,179787454,54122794,30.1%,92016420,51.18%,4487569,2.5%,410320,0.23%,2888481,1.61%,669649,0.37%,25121808,13.97%,05
Central Zone Total,43325279,16757213,38.68%,21054446,48.6%,921088,2.13%,64461,0.15%,296585,0.68%,132388,0.31%,4080607,9.42%,05
State Total,1479742,536620,36.26%,413990,27.98%,79824,5.39%,2262,0.15%,24986,1.69%,3214,0.22%,418846,28.31%,05
Uttarkashi (01),64836,46362,71.51%,4961,7.65%,1208,1.86%,41,0.06%,1475,2.27%,112,0.17%,10677,16.47%,05
Chamoli (02),70323,35595,50.62%,12751,18.13%,1766,2.51%,41,0.06%,643,0.91%,140,0.2%,19387,27.57%,05
Rudraprayag (03),48830,25557,52.34%,7751,15.87%,680,1.39%,33,0.07%,730,1.49%,48,0.1%,14031,28.73%,05
TehriGarhwal (04),119766,56896,47.51%,21595,18.03%,4124,3.44%,80,0.07%,769,0.64%,112,0.09%,36190,30.22%,05
Dehradun (05),165649,22103,13.34%,45796,27.65%,12640,7.63%,261,0.16%,3157,1.91%,736,0.44%,80956,48.87%,05
Garhwal (06),140122,53284,38.03%,22820,16.29%,4114,2.94%,247,0.18%,2017,1.44%,391,0.28%,57249,40.86%,05
Pithoragarh (07),91906,38705,42.11%,16164,17.59%,8375,9.11%,230,0.25%,1740,1.89%,116,0.13%,26576,28.92%,05
Bageshwar (08),53420,26499,49.61%,10243,19.17%,4665,8.73%,83,0.16%,622,1.16%,93,0.17%,11215,20.99%,05
Almora (09),125275,70493,56.27%,16728,13.35%,5358,4.28%,113,0.09%,1905,1.52%,214,0.17%,30464,24.32%,05
Champawat (10),44150,21423,48.52%,9339,21.15%,1570,3.56%,42,0.1%,351,0.8%,40,0.09%,11385,25.79%,05
Nainital (11),117469,49892,42.47%,20865,17.76%,7233,6.16%,201,0.17%,924,0.79%,276,0.23%,38078,32.42%,05
UdhamSinghNagar (12),206204,46439,22.52%,94464,45.81%,15676,7.6%,518,0.25%,4382,2.13%,399,0.19%,44326,21.5%,05
Hardwar (13),231792,43372,18.71%,130513,56.31%,12415,5.36%,372,0.16%,6271,2.71%,537,0.23%,38312,16.53%,05
All India Total,179787454,54122794,30.1%,92016420,51.18%,4487569,2.5%,410320,0.23%,2888481,1.61%,669649,0.37%,25121808,13.97%,06
